pageid,bin_death_index,ma,diff_percent
39879,62,9082,1.38
39879,63,9312,1.44
39879,64,9356,1.45
39879,65,9342,1.45
39879,66,9310,1.44
39879,67,9312,1.44
39879,68,9427,1.47
39879,69,9476,1.48
39879,70,9564,1.51
39879,71,9787,1.56
39879,72,9984,1.62
39879,73,10321,1.70
39879,74,10547,1.76
39879,75,10793,1.83
39879,76,11096,1.91
39879,77,11347,1.97
39879,78,11768,2.08
39879,79,12366,2.24
39879,80,13779,2.61
39879,81,14104,2.70
39879,82,14143,2.71
39879,83,14643,2.84
39879,84,15773,3.13
39879,85,16431,3.31
39879,86,17794,3.66
39879,87,17287,3.53
39879,88,17850,3.68
39879,89,18279,3.79
39879,90,17981,3.71
39879,91,16389,3.29
39879,92,15849,3.15
39879,93,14580,2.82
39879,94,14257,2.74
39879,95,13355,2.50
39879,96,12741,2.34
39879,97,12706,2.33
39879,98,13946,2.65
39879,99,14780,2.87
39879,100,14606,2.83
39879,101,14338,2.76
39879,102,14434,2.78
39879,103,14551,2.81
39879,104,14636,2.84
39879,105,13675,2.58
39879,106,11926,2.13
39879,107,11338,1.97
39879,108,10909,1.86
39879,109,10596,1.78
39879,110,10299,1.70
39879,111,9655,1.53
39879,112,9131,1.39
39879,113,8826,1.31
39879,114,8365,1.19
39879,115,9100,1.38
39879,116,9179,1.41
39879,117,9151,1.40
39879,118,9239,1.42
39879,119,9249,1.42
39879,120,9431,1.47
536880,30,24804,17.11
536880,31,25074,17.30
536880,32,25190,17.39
536880,33,25108,17.33
536880,34,24745,17.06
536880,35,24268,16.71
536880,36,9350,5.82
536880,37,7871,4.75
536880,38,7168,4.23
536880,39,6779,3.95
536880,40,6378,3.66
536880,41,6142,3.48
536880,42,5956,3.35
536880,43,5770,3.21
536880,44,5615,3.10
536880,45,5479,3.00
536880,46,5164,2.77
536880,47,4789,2.50
536880,48,4452,2.25
536880,49,4659,2.40
536880,50,4855,2.54
536880,51,4894,2.57
536880,52,4943,2.61
536880,53,5040,2.68
536880,54,5098,2.72
536880,55,5205,2.80
536880,56,5082,2.71
536880,57,4984,2.64
536880,58,4893,2.57
536880,59,4850,2.54
536880,60,4775,2.49
536880,61,4692,2.42
536880,62,4520,2.30
536880,63,4265,2.11
536880,64,4067,1.97
536880,65,4026,1.94
536880,66,3969,1.90
536880,67,3943,1.88
536880,68,3898,1.85
536880,69,3902,1.85
536880,70,3895,1.84
536880,71,3912,1.86
536880,72,3943,1.88
536880,73,3934,1.87
536880,74,3867,1.82
536880,75,3842,1.80
536880,76,3755,1.74
536880,77,3928,1.87
536880,78,3848,1.81
536880,79,3798,1.77
536880,80,3772,1.75
536880,81,3727,1.72
536880,82,3648,1.66
536880,83,3571,1.61
536880,84,3276,1.39
536880,85,3264,1.38
536880,86,3198,1.33
536880,87,3093,1.26
536880,88,3071,1.24
536880,89,3030,1.21
536880,90,3031,1.21
536880,91,3044,1.22
536880,92,2988,1.18
536880,93,2980,1.18
536880,94,3754,1.74
536880,95,4620,2.37
